Time,Open,High,Low,Last,Change,%Chg,Volume
"01/12/2021 19:10",32943.01,33133.79,32710.59,33116.51,173.5,+0.53%,174
"01/12/2021 19:05",32892.18,32990.76,32892.09,32943.01,44.88,+0.14%,167
"01/12/2021 19:00",32455.9,32898.13,32451.09,32898.13,442.23,+1.36%,147
"01/12/2021 18:55",32796.53,32801.01,32455.9,32455.9,-340.63,-1.04%,155
"01/12/2021 18:50",32810.04,32958.13,32762.42,32796.53,-13.51,-0.04%,166
"01/12/2021 18:45",33099.98,33106.14,32756.99,32810.04,-263.84,-0.80%,163
"01/12/2021 18:40",32849.53,33073.88,32835.2,33073.88,229.05,+0.70%,169
"01/12/2021 18:35",33186.96,33188.27,32844.08,32844.83,-347.9,-1.05%,151
"01/12/2021 18:30",33070.09,33220.55,33005.7,33192.73,122.64,+0.37%,158
"01/12/2021 18:25",33373.76,33401.67,32947.11,33070.09,-304.3,-0.91%,163
"01/12/2021 18:20",33566.69,33571.11,33370.88,33374.39,-195.79,-0.58%,178
"01/12/2021 18:15",33787.8,33878.77,33550.62,33570.18,-218.78,-0.65%,178
"01/12/2021 18:10",33715.38,33797.09,33624.57,33788.96,74.21,+0.22%,196
"01/12/2021 18:05",33627.21,33714.75,33507.89,33714.75,83.84,+0.25%,175
"01/12/2021 18:00",34058.06,34059.2,33630.91,33630.91,-427.15,-1.25%,162
"01/12/2021 17:55",33944.15,34058.4,33726.56,34058.06,114.54,+0.34%,182
"01/12/2021 17:50",33846.25,33955.43,33785.69,33943.52,97.27,+0.29%,193
"01/12/2021 17:45",33841.57,33874.74,33665.61,33846.25,-5.03,-0.01%,169
"01/12/2021 17:40",33523.37,33878.81,33475.75,33851.28,327.91,+0.98%,162
"01/12/2021 17:35",33393.03,33562.99,33385.77,33523.37,129.59,+0.39%,152
"01/12/2021 17:30",33431.95,33687.45,33377.07,33393.78,-31.04,-0.09%,163
"01/12/2021 17:25",33528.99,33565.57,33348.5,33424.82,-104.17,-0.31%,163
"01/12/2021 17:20",33649.43,33746.38,33503.21,33528.99,-120.44,-0.36%,180
"01/12/2021 17:15",33956.11,33969.05,33609.78,33649.43,-306.1,-0.90%,177
"01/12/2021 17:10",33387.28,33980.45,33340.27,33955.53,568.04,+1.70%,165
"01/12/2021 17:05",33548.71,33672.82,33386.19,33387.49,-161.22,-0.48%,157
"01/12/2021 17:00",33716.26,33725.89,33402.96,33548.71,-152.39,-0.45%,162
"01/12/2021 16:55",33542.22,33802.08,33445.12,33701.1,138.83,+0.41%,149
"01/12/2021 16:50",33935.82,33935.82,33562.27,33562.27,-373.55,-1.10%,167
"01/12/2021 16:45",34179.83,34182.6,33904.88,33935.82,-244.01,-0.71%,178
"01/12/2021 16:40",34323.55,34323.55,34179.83,34179.83,-143.32,-0.42%,190
"01/12/2021 16:35",34469.96,34605.4,34323.15,34323.15,-149.5,-0.43%,185
"01/12/2021 16:30",34394.69,34487.81,34322.83,34472.65,77.96,+0.23%,176
"01/12/2021 16:25",34634.83,34640.19,34370.52,34394.69,-240.14,-0.69%,182
"01/12/2021 16:20",34697.11,34698.22,34601.17,34634.83,-68.68,-0.20%,197
"01/12/2021 16:15",34754.39,34761.2,34651.93,34703.51,-50.89,-0.15%,202
"01/12/2021 16:10",34830.8,34836,34711.62,34754.4,-84.07,-0.24%,192
"01/12/2021 16:05",34969.77,34969.77,34824.73,34838.47,-131.3,-0.38%,189
"01/12/2021 16:00",34708.41,34987.34,34681.74,34969.77,261.23,+0.75%,168
"01/12/2021 15:55",34796.39,34854.16,34708.54,34708.54,-92.76,-0.27%,166
"01/12/2021 15:50",34574.49,34812.37,34516.91,34801.3,226.81,+0.66%,167
"01/12/2021 15:45",34270.34,34576.78,34252,34574.49,301.11,+0.88%,178
"01/12/2021 15:40",33938.27,34273.38,33938.27,34273.38,333.77,+0.98%,177
"01/12/2021 15:35",33897.8,33978.3,33851.4,33939.61,41.81,+0.12%,177
"01/12/2021 15:30",34096.54,34096.54,33869.25,33897.8,-198.57,-0.58%,155
"01/12/2021 15:25",34064.93,34107.25,34058.85,34096.37,31.44,+0.09%,186
"01/12/2021 15:20",34321.43,34385.74,34064.93,34064.93,-250.66,-0.73%,168
"01/12/2021 15:15",34377.97,34390.97,34309.28,34315.59,-72.41,-0.21%,179
"01/12/2021 15:10",34317.12,34416.88,34316.82,34388,69.59,+0.20%,184
"01/12/2021 15:05",34390.27,34426.68,34318.05,34318.41,-71.88,-0.21%,191
"01/12/2021 15:00",34293.02,34430.82,34261.66,34390.29,95.99,+0.28%,164
"01/12/2021 14:55",34091.03,34297.99,34091.03,34294.3,204.92,+0.60%,176
