,Date,Time,Open,High,Low,Close,ST_ALMA
129,03/28/2012,11:55:06.000,2759.5,2760,2757.25,2757.25,2760.96
130,03/28/2012,11:55:20.370,2757,2762.75,2754.75,2754.75,2758.92
131,03/28/2012,13:23:19.108,2754.5,2758.25,2752.25,2752.25,2756.71
132,03/28/2012,14:05:29.220,2752,2755,2750.25,2754.25,2754.83
133,03/28/2012,14:30:00.000,2754.25,2761.75,2754,2761.75,2755.04
134,03/28/2012,14:46:18.210,2762,2764.25,2760.25,2764.25,2757.83
135,03/28/2012,15:00:33.000,2764.5,2766.75,2764.5,2766.75,2762.08
136,03/28/2012,15:01:37.230,2767,2769.25,2762,2769.25,2765.06
137,03/28/2012,15:45:08.900,2769.5,2770.75,2765.25,2765.75,2766.77
138,03/28/2012,21:15:16.000,2765.5,2773,2763,2773,2767.77
139,03/29/2012,03:55:14.000,2773.25,2773.25,2758,2758,2767.35
140,03/29/2012,07:01:35.200,2757.75,2763.75,2755.5,2755.5,2764.13
141,03/29/2012,09:23:00.200,2755.25,2755.75,2753,2753,2759.33
142,03/29/2012,09:26:08.000,2752.75,2752.75,2750.5,2750.5,2754.67
143,03/29/2012,09:27:36.100,2750.25,2765.5,2750.25,2765.5,2754.58
144,03/29/2012,09:48:50.350,2765.75,2766.5,2750.5,2750.5,2755.94
145,03/29/2012,10:30:42.260,2750.25,2753.25,2748,2748,2755.35
146,03/29/2012,10:36:25.670,2747.75,2755.5,2745.5,2745.5,2752.25
147,03/29/2012,11:29:18.140,2745.25,2746.5,2743,2743,2747.63
148,03/29/2012,11:37:29.100,2742.75,2747,2740.5,2740.5,2745.23
149,03/29/2012,11:59:11.230,2740.25,2740.5,2738,2738,2742.1
150,03/29/2012,11:59:33.176,2737.75,2759.75,2737,2759.75,2743.48
151,03/29/2012,15:16:24.100,2760,2762.25,2755.75,2762.25,2749.27
152,03/29/2012,15:50:20.200,2762.5,2768,2754.5,2768,2757.29
153,03/30/2012,03:16:42.000,2768.25,2770.5,2763,2770.5,2763.79
154,03/30/2012,05:36:29.520,2770.75,2773,2770.75,2773,2767.73
155,03/30/2012,05:41:44.490,2773.25,2773.25,2755.5,2755.5,2768.1
156,03/30/2012,10:00:03.150,2755.25,2759.25,2753,2753,2763.79
157,03/30/2012,10:15:22.101,2752.75,2754.75,2750.5,2750.5,2757.21
158,03/30/2012,10:20:33.109,2750.25,2752,2748,2748,2752.27
159,03/30/2012,10:33:54.000,2747.75,2747.75,2745.5,2745.5,2749.44
160,03/30/2012,10:34:46.100,2745.25,2746.25,2743,2743,2746.85
161,03/30/2012,10:35:32.790,2742.75,2744.5,2740.5,2740.5,2744.35
162,03/30/2012,10:40:02.440,2740.25,2755.5,2740.25,2755.5,2744.77
163,03/30/2012,11:12:54.670,2755.75,2758,2754.5,2758,2748.83
164,03/30/2012,11:18:01.900,2758.25,2760,2752.25,2756,2753.69
165,03/30/2012,14:30:00.000,2756,2764.75,2749,2762.5,2757.08
166,04/01/2012,21:15:15.000,2762.5,2764.75,2752.5,2752.5,2757.58
167,04/02/2012,04:40:23.000,2752.25,2752.5,2750,2750,2755.77
168,04/02/2012,04:41:45.210,2749.75,2750.75,2747.5,2747.5,2752.71
169,04/02/2012,04:44:32.800,2747.25,2754.5,2745,2745,2749.33
170,04/02/2012,08:16:28.100,2744.75,2762.5,2743.5,2762.5,2750.04
171,04/02/2012,10:12:13.600,2762.75,2765,2756.75,2765,2754.54
172,04/02/2012,11:00:39.137,2765.25,2767.5,2761.5,2767.5,2760.38
173,04/02/2012,11:15:32.210,2767.75,2770,2766.5,2769.75,2765.44
174,04/02/2012,11:26:51.100,2770.25,2772.5,2768.75,2772.5,2768.31
175,04/02/2012,11:47:45.100,2772.75,2775,2772.5,2775,2771.1
176,04/02/2012,11:49:45.270,2775.25,2777.5,2774.5,2777.5,2773.67
177,04/02/2012,12:02:04.160,2777.75,2780,2776.75,2780,2776.21
178,04/02/2012,12:07:09.520,2780.25,2782.25,2776.5,2781,2778.27
179,04/02/2012,14:30:01.000,2781,2786.25,2771.75,2786.25,2779.98
180,04/03/2012,09:35:58.360,2786.5,2788.75,2779.75,2788.75,2782.42
181,04/03/2012,10:07:24.900,2789,2791.25,2780.75,2791.25,2785.1
182,04/03/2012,11:00:01.100,2791.5,2791.5,2773.75,2773.75,2785.54
183,04/03/2012,12:06:26.170,2773.5,2774.25,2771.25,2771.25,2781.08
184,04/03/2012,12:10:31.280,2771,2772,2768.75,2768.75,2775.1
185,04/03/2012,12:13:55.600,2768.5,2780.75,2763.25,2763.25,2770.54
186,04/03/2012,14:40:10.100,2763,2780.75,2763,2780.75,2770.31
187,04/03/2012,16:00:41.250,2781,2781,2763.5,2763.5,2771.02
188,04/04/2012,03:31:56.260,2763.25,2767.75,2761,2761,2769.13
189,04/04/2012,04:52:18.210,2760.75,2761,2758.5,2758.5,2765.06
190,04/04/2012,05:18:31.000,2758.25,2763.75,2756,2756,2760.48
191,04/04/2012,07:05:29.110,2755.75,2763.25,2753.5,2753.5,2758.23
192,04/04/2012,09:31:48.900,2753.25,2758.5,2751,2758.5,2756.77
193,04/04/2012,09:38:20.640,2758.75,2759.5,2748.5,2748.5,2755.21
194,04/04/2012,10:10:00.680,2748.25,2748.75,2746,2746,2752.13
195,04/04/2012,10:10:22.160,2745.75,2747,2743.5,2743.5,2748.67
196,04/04/2012,10:16:50.000,2743.25,2745.5,2741,2741,2744.96
197,04/04/2012,10:25:14.620,2740.75,2745.25,2738.5,2738.5,2742.79
198,04/04/2012,10:47:06.000,2738.25,2740.5,2736,2736,2740.38
199,04/04/2012,10:51:13.000,2735.75,2736,2733.5,2733.5,2737.71
200,04/04/2012,10:51:46.180,2733.25,2734.5,2731,2731,2734.94
201,04/04/2012,10:56:42.310,2730.75,2737.5,2728.5,2728.5,2732.81
202,04/04/2012,13:04:54.670,2728.25,2730.5,2726,2726,2730.48
203,04/04/2012,13:27:41.000,2725.75,2739,2724.75,2739,2730.38
204,04/04/2012,15:12:50.310,2739.25,2741.5,2737.25,2741.5,2733.23
205,04/04/2012,15:30:57.000,2741.75,2744,2741.5,2744,2738.27
206,04/04/2012,15:35:06.000,2744.25,2746,2726.5,2726.5,2739.5
207,04/05/2012,05:39:56.120,2726.25,2727.75,2724,2724,2734.71
208,04/05/2012,05:45:12.350,2723.75,2744,2722.5,2744,2731.63
209,04/05/2012,10:39:58.400,2744.25,2746.5,2744.25,2746.5,2734.81
210,04/05/2012,10:41:30.390,2746.75,2749,2746,2749,2742.21
211,04/05/2012,10:49:42.160,2749.25,2751.5,2747,2751.5,2747.63
212,04/05/2012,10:59:53.270,2751.75,2754,2750.5,2754,2750.02
213,04/05/2012,11:08:19.100,2754.25,2756.5,2751.5,2756.5,2752.35
214,04/05/2012,11:58:57.700,2756.75,2759,2756,2759,2754.98
215,04/05/2012,12:05:55.240,2759.25,2761.25,2750,2750,2755.83
216,04/06/2012,08:30:00.620,2749.75,2752.25,2747.5,2747.5,2754.02
217,04/06/2012,08:30:01.200,2747.25,2747.75,2745,2745,2750.21
218,04/06/2012,08:30:04.120,2744.75,2745,2742.5,2743,2746.44
219,04/06/2012,08:30:08.200,2742.25,2743.5,2740,2740,2743.83
220,04/06/2012,08:30:18.110,2739.75,2741.5,2737.5,2737.5,2741.44
221,04/06/2012,08:31:44.300,2737.25,2737.25,2735,2735,2738.88
222,04/06/2012,08:31:56.800,2734.75,2735.75,2732.5,2732.5,2736.35
223,04/06/2012,08:32:07.160,2732.25,2737,2730,2730,2734.1
224,04/06/2012,08:42:52.100,2729.5,2729.75,2727.5,2727.75,2731.6
225,04/06/2012,08:42:58.200,2727.25,2730.75,2725,2725,2729.31
226,04/06/2012,08:44:15.210,2724.75,2729.75,2722.5,2722.5,2726.83
227,04/06/2012,08:56:23.120,2722.25,2727,2720,2720,2724.73
228,04/06/2012,09:07:46.800,2719.75,2730.5,2719,2730.5,2724.04
229,04/09/2012,09:36:15.100,2730.75,2733,2718.75,2733,2725.38
230,04/09/2012,10:23:53.130,2733.25,2735.5,2732.25,2735.5,2729.31
231,04/09/2012,10:25:03.540,2735.75,2738,2733,2738,2733.06
232,04/09/2012,10:47:13.000,2738.25,2740.5,2738.25,2740.5,2736.56
233,04/09/2012,10:50:07.130,2740.75,2745.5,2730.75,2743.75,2738.58
234,04/09/2012,14:30:00.000,2744,2748,2734,2734,2739.85
235,04/09/2012,16:01:46.250,2733.75,2734.5,2731.5,2731.5,2737.67
236,04/09/2012,16:04:45.600,2731.25,2733.5,2729,2729.25,2734.52
237,04/09/2012,16:14:59.300,2728.75,2745.75,2727.75,2745.75,2733.52
238,04/10/2012,10:01:29.310,2746,2746,2723.25,2723.25,2734.13
239,04/10/2012,11:47:15.250,2723,2724.5,2720.75,2720.75,2731.29
240,04/10/2012,11:51:01.860,2720.5,2721,2718.25,2718.25,2725.46
241,04/10/2012,11:51:28.180,2718,2718.5,2715.75,2715.75,2719.58
242,04/10/2012,11:51:39.109,2715.5,2716.5,2713.25,2713.25,2717.04
243,04/10/2012,11:53:29.600,2713,2714,2710.75,2710.75,2714.58
244,04/10/2012,11:54:28.279,2710.5,2711.25,2708.25,2708.25,2712.1
245,04/10/2012,11:56:48.360,2708,2712.75,2705.75,2705.75,2709.92
246,04/10/2012,12:06:47.690,2705.5,2706.75,2703.25,2703.25,2707.44
247,04/10/2012,12:08:18.340,2703,2704.25,2700.75,2700.75,2704.98
248,04/10/2012,12:10:13.200,2700.5,2701,2698.25,2698.25,2702.13
249,04/10/2012,12:10:17.470,2698,2699,2695.75,2695.75,2699.6
250,04/10/2012,12:11:06.900,2695.5,2696.5,2693.25,2693.25,2697.08
251,04/10/2012,12:11:30.140,2693,2706.25,2688,2688,2695.19
252,04/10/2012,14:34:11.340,2687.75,2692.5,2685.5,2685.5,2692.08
253,04/10/2012,14:39:14.700,2685.25,2703,2684.25,2703,2691.83
254,04/10/2012,19:14:32.900,2703.25,2704.25,2701.25,2703.75,2694.94
255,04/10/2012,21:15:20.000,2703.75,2711.25,2698.5,2711.25,2701.06
256,04/11/2012,05:44:09.000,2711.5,2713.75,2710.5,2713.75,2707.23
257,04/11/2012,05:54:05.000,2714,2716.25,2713.75,2716.25,2711.21
258,04/11/2012,06:01:52.400,2716.5,2718.75,2713.25,2718.75,2714.75
259,04/11/2012,07:27:48.000,2719,2721.25,2706.25,2721.25,2716.27
260,04/11/2012,10:30:27.265,2721.5,2723.75,2716.25,2716.25,2717.73
261,04/11/2012,11:22:07.160,2716,2718.75,2708.75,2708.75,2716.48
262,04/11/2012,12:04:57.000,2708.5,2713.75,2706.25,2713.75,2714.35
263,04/11/2012,12:17:12.180,2714,2715.25,2705,2707.75,2711.38
264,04/11/2012,14:30:00.000,2708,2708.25,2700.5,2700.5,2708.46
265,04/11/2012,14:33:20.252,2700.25,2712.25,2698.75,2705,2706.29
266,04/11/2012,21:16:32.000,2705.25,2717.75,2705,2717.75,2706.6
267,04/12/2012,02:11:19.760,2718,2720.25,2715.25,2720.25,2711.31
268,04/12/2012,03:15:03.230,2720.5,2725.25,2706.5,2725.25,2716.42
269,04/12/2012,09:55:16.180,2725.5,2727.75,2719,2727.75,2720.94
270,04/12/2012,10:27:28.180,2728,2730.25,2726.75,2730.25,2724.4
271,04/12/2012,10:34:01.000,2730.5,2732.75,2730.25,2732.75,2728.46
272,04/12/2012,10:35:09.223,2733,2735.25,2731.75,2735.25,2731.4
273,04/12/2012,10:37:40.320,2735.5,2737.75,2734.25,2737.75,2733.9
274,04/12/2012,10:49:08.120,2738,2742.75,2725.75,2726,2734.42
275,04/13/2012,04:30:00.500,2725.75,2737,2723.5,2723.5,2732.29
276,04/13/2012,09:33:18.100,2723.25,2724.75,2721,2721,2727.69
